idx,timestamp_iso,lat,lng,accuracy_m,altitude_m,altitude_accuracy_m,heading_deg,speed_ms,speed_kmh,source
13,2026-03-31T10:04:10.711Z,30.0212265,31.2027334,4.09499979019165,36.79999923706055,0,352.5660400390625,3.34397029876709,12.038293075561525,gps
14,2026-03-31T10:04:11.711Z,30.0212481,31.202729,4.020999908447266,43.599998474121094,0,355.22222900390625,2.3450303077697754,8.442109107971191,gps
15,2026-03-31T10:04:12.712Z,30.0212671,31.20273,3.9240000247955322,43.599998474121094,0,350.8992614746094,2.215045928955078,7.974165344238282,gps
16,2026-03-31T10:04:13.711Z,30.0212877,31.2027217,3.9010000228881836,43.599998474121094,0,352.2258605957031,2.1143710613250732,7.611735820770264,gps
17,2026-03-31T10:04:14.711Z,30.0213172,31.2027152,3.8299999237060547,43.599998474121094,0,352.66033935546875,2.5418710708618164,9.150735855102539,gps
18,2026-03-31T10:04:15.711Z,30.0213441,31.2027037,3.7899999618530273,43.599998474121094,0,341.3480224609375,2.434638500213623,8.764698600769043,gps
19,2026-03-31T10:04:16.711Z,30.0213715,31.2026884,3.7899999618530273,44.94952392578125,0,338.5991516113281,2.7083163261413574,9.749938774108887,gps
20,2026-03-31T10:04:17.712Z,30.0214119,31.2026737,3.7899999618530273,45.61590576171875,0,339.59246826171875,3.4847090244293213,12.544952487945556,gps
21,2026-03-31T10:04:18.712Z,30.0214625,31.2026555,3.7899999618530273,44.5657958984375,0,343.0369873046875,4.381943225860596,15.774995613098145,gps
22,2026-03-31T10:04:19.711Z,30.0215303,31.2026287,3.7899999618530273,44.01678466796875,0,344.4524841308594,5.052722930908203,18.189802551269533,gps
23,2026-03-31T10:04:20.712Z,30.0215973,31.2025991,3.7899999618530273,42.53662109375,0,345.4511413574219,6.058846950531006,21.811849021911623,gps
24,2026-03-31T10:04:21.712Z,30.0216734,31.2025722,3.7899999618530273,43.43463134765625,0,345.8609924316406,6.907917499542236,24.868502998352053,gps
25,2026-03-31T10:04:22.712Z,30.021749,31.2025377,3.7899999618530273,42.5885009765625,0,344.7791442871094,7.649173736572266,27.537025451660156,gps
26,2026-03-31T10:04:23.712Z,30.0218281,31.2025074,3.7899999618530273,43.31097412109375,0,344.783935546875,8.264050483703613,29.750581741333008,gps
27,2026-03-31T10:04:24.711Z,30.02192,31.2024743,3.7899999618530273,43.1005859375,0,344.36102294921875,9.20853328704834,33.150719833374026,gps
28,2026-03-31T10:04:25.711Z,30.0220186,31.2024405,3.7899999618530273,43.3416748046875,0,344.0998840332031,9.92171859741211,35.718186950683595,gps
29,2026-03-31T10:04:26.711Z,30.0221145,31.202406,3.7899999618530273,43.7225341796875,0,344.4989013671875,10.516222953796387,37.85840263366699,gps
30,2026-03-31T10:04:27.711Z,30.0222204,31.2023738,3.7899999618530273,44.29217529296875,0,345.1835632324219,11.137517929077148,40.09506454467773,gps
31,2026-03-31T10:04:28.711Z,30.0223348,31.2023199,3.7990000247955322,45.0037841796875,0,343.8927307128906,11.981016159057617,43.13165817260742,gps
32,2026-03-31T10:04:29.712Z,30.0224532,31.2022842,3.871999979019165,45.2904052734375,0,344.402587890625,12.557268142700195,45.2061653137207,gps
33,2026-03-31T10:04:30.712Z,30.0225747,31.2022551,3.871999979019165,44.6021728515625,0,344.7873229980469,13.256781578063965,47.72441368103028,gps
34,2026-03-31T10:04:31.711Z,30.0226954,31.2022235,3.884000062942505,44.459228515625,0,343.7279968261719,13.739461898803711,49.46206283569336,gps
35,2026-03-31T10:04:32.711Z,30.0228335,31.2021784,3.885999917984009,42.5438232421875,0,343.31866455078125,14.860673904418945,53.498426055908205,gps
36,2026-03-31T10:04:33.711Z,30.0229747,31.2021361,3.885999917984009,42.85723876953125,0,344.2306213378906,15.312789916992188,55.126043701171874,gps
37,2026-03-31T10:04:34.712Z,30.0231183,31.2020972,3.869999885559082,43.32232666015625,0,345.88909912109375,15.767545700073242,56.76316452026367,gps
38,2026-03-31T10:04:35.711Z,30.0232661,31.2020503,3.811000108718872,43.02313232421875,0,346.5196228027344,16.324308395385742,58.767510223388676,gps
39,2026-03-31T10:04:36.710Z,30.0234171,31.2020078,3.811000108718872,43.18536376953125,0,343.7918701171875,16.846525192260742,60.647490692138675,gps
40,2026-03-31T10:04:37.712Z,30.0235711,31.2019591,3.8010001182556152,42.81573486328125,0,342.68280029296875,17.281814575195312,62.214532470703126,gps
41,2026-03-31T10:04:38.712Z,30.0237246,31.2019095,3.7899999618530273,43.72088623046875,0,343.38775634765625,17.494604110717773,62.98057479858399,gps
